Month,Campaign,Clicks,CTR,Cost,Conversions
9/2016,MA Homeland Security,18,0.0362,274.66,2
9/2016,MA Homeland Security,7,0.0134,102.68,1
9/2016,MA Homeland Security,6,0.0186,96.18,2
9/2016,MA Homeland Security,3,0.0097,47.68,0
9/2016,MA Homeland Security,14,0.0297,246.22,1
9/2016,MA Homeland Security,12,0.0267,246.54,0
9/2016,MA Homeland Security,13,0.0461,275.88,2
9/2016,MA Homeland Security,13,0.023,209.98,1
9/2016,MA Homeland Security,10,0.0309,142.37,1
9/2016,MA Homeland Security,5,0.0201,93.7,0
9/2016,MA Homeland Security,12,0.0465,207.74,1
9/2016,MA Homeland Security,10,0.0275,205.79,2
9/2016,MA Homeland Security,10,0.023,151.22,1
8/2016,MA Homeland Security,16,0.0376,275.92,1
8/2016,MA Homeland Security,15,0.0248,240.81,2
8/2016,MA Homeland Security,13,0.0212,171.87,1
8/2016,MA Homeland Security,13,0.039,194.66,1
8/2016,MA Homeland Security,9,0.028,121.43,3
8/2016,MA Homeland Security,11,0.0298,226.3,2
8/2016,MA Homeland Security,11,0.0231,216.46,0
8/2016,MA Homeland Security,16,0.0402,255.97,1
8/2016,MA Homeland Security,13,0.0348,281.53,0
8/2016,MA Homeland Security,9,0.0188,179.42,0
8/2016,MA Homeland Security,11,0.0385,212.55,0
8/2016,MA Homeland Security,12,0.0588,197.25,2
8/2016,MA Homeland Security,10,0.0353,194.24,0
8/2016,MA Homeland Security,15,0.0373,267.93,0
8/2016,MA Homeland Security,11,0.0239,146.69,0
8/2016,MA Homeland Security,12,0.0277,265.37,0
8/2016,MA Homeland Security,14,0.0329,245.34,1
8/2016,MA Homeland Security,12,0.05,219.93,2
8/2016,MA Homeland Security,11,0.0423,245.28,1
8/2016,MA Homeland Security,14,0.0243,207.93,1
8/2016,MA Homeland Security,12,0.0397,246.78,1
8/2016,MA Homeland Security,16,0.0379,242.51,1
8/2016,MA Homeland Security,15,0.026,243.92,1
8/2016,MA Homeland Security,11,0.0274,191.81,1
8/2016,MA Homeland Security,13,0.0345,230.07,3
8/2016,MA Homeland Security,12,0.0215,238.95,1
8/2016,MA Homeland Security,12,0.0248,226.26,1
8/2016,MA Homeland Security,13,0.0201,239.22,1
8/2016,MA Homeland Security,13,0.0262,260.31,1
8/2016,MA Homeland Security,13,0.0219,264.21,2
7/2016,MA Homeland Security,14,0.033,230.83,2
7/2016,MA Homeland Security,9,0.0207,157.4,2
7/2016,MA Homeland Security,12,0.0333,225.54,1
7/2016,MA Homeland Security,12,0.02,237.68,2
7/2016,MA Homeland Security,17,0.0234,234.67,0
7/2016,MA Homeland Security,16,0.0238,256.02,5
7/2016,MA Homeland Security,14,0.0223,254.28,0
7/2016,MA Homeland Security,13,0.0355,236.12,2
7/2016,MA Homeland Security,9,0.0212,151.46,0
7/2016,MA Homeland Security,12,0.03,226.59,0
7/2016,MA Homeland Security,14,0.0236,263.94,1
7/2016,MA Homeland Security,14,0.0207,228.21,1
7/2016,MA Homeland Security,11,0.0256,256.97,1
7/2016,MA Homeland Security,12,0.0293,264.82,0
7/2016,MA Homeland Security,10,0.0543,232.1,1
7/2016,MA Homeland Security,13,0.0456,258.65,0
7/2016,MA Homeland Security,12,0.0469,252.42,2
7/2016,MA Homeland Security,7,0.0286,168.13,0
7/2016,MA Homeland Security,10,0.0278,193.2,3
7/2016,MA Homeland Security,10,0.0169,179.96,1
7/2016,MA Homeland Security,12,0.0331,263.64,0
7/2016,MA Homeland Security,11,0.0357,188.99,1
7/2016,MA Homeland Security,13,0.0354,227.71,1
7/2016,MA Homeland Security,11,0.0391,236.23,2
7/2016,MA Homeland Security,13,0.0327,254.26,1
7/2016,MA Homeland Security,16,0.034,249.33,2
7/2016,MA Homeland Security,12,0.0558,269.22,2
7/2016,MA Homeland Security,11,0.029,186.16,2
7/2016,MA Homeland Security,14,0.0438,233.8,1
7/2016,MA Homeland Security,9,0.0323,150.15,0
7/2016,MA Homeland Security,11,0.024,208.53,3
6/2016,MA Homeland Security,22,0.0382,407.32,1
6/2016,MA Homeland Security,18,0.0316,346.71,1
6/2016,MA Homeland Security,1,0.037,7.84,0
6/2016,MA Homeland Security,15,0.0295,222.55,2
6/2016,MA Homeland Security,13,0.0353,264.93,0
6/2016,MA Homeland Security,6,0.0163,104.25,0
6/2016,MA Homeland Security,5,0.0124,86.89,1
6/2016,MA Homeland Security,10,0.0211,192.8,0
6/2016,MA Homeland Security,9,0.0156,140.07,1
6/2016,MA Homeland Security,17,0.0306,314.03,1
6/2016,MA Homeland Security,20,0.0434,355.16,0
6/2016,MA Homeland Security,5,0.0202,56.7,0
6/2016,MA Homeland Security,10,0.037,168.34,1
6/2016,MA Homeland Security,9,0.0214,148.3,0
6/2016,MA Homeland Security,15,0.0296,192.66,1
6/2016,MA Homeland Security,25,0.0477,446.93,1
6/2016,MA Homeland Security,18,0.0289,261.35,2
6/2016,MA Homeland Security,21,0.0303,348.65,0
6/2016,MA Homeland Security,18,0.0562,357.59,3
6/2016,MA Homeland Security,13,0.0322,328.27,1
6/2016,MA Homeland Security,8,0.0191,159.75,0
6/2016,MA Homeland Security,12,0.0222,190.73,2
6/2016,MA Homeland Security,16,0.0292,276.33,0
6/2016,MA Homeland Security,20,0.0317,352.71,1
6/2016,MA Homeland Security,18,0.0283,348.52,2
6/2016,MA Homeland Security,10,0.0267,120.82,0
6/2016,MA Homeland Security,10,0.0184,216.59,1
6/2016,MA Homeland Security,7,0.0194,110.84,0
6/2016,MA Homeland Security,13,0.0322,237.15,3
6/2016,MA Homeland Security,3,0.028,20.56,1
5/2016,MA Homeland Security,1,0.0196,25.47,0
5/2016,MA Homeland Security,1,0.0357,19.86,0
5/2016,MA Homeland Security,6,0.017,113.54,0
5/2016,MA Homeland Security,12,0.0317,213.39,0
5/2016,MA Homeland Security,16,0.029,322.92,2
5/2016,MA Homeland Security,12,0.0196,252.48,0
5/2016,MA Homeland Security,17,0.0268,356.48,0
5/2016,MA Homeland Security,12,0.0214,235.74,0
5/2016,MA Homeland Security,10,0.0296,183.17,2
5/2016,MA Homeland Security,5,0.0137,118.47,0
5/2016,MA Homeland Security,12,0.027,180.16,2
5/2016,MA Homeland Security,22,0.0277,344.54,0
5/2016,MA Homeland Security,21,0.0239,337.06,0
5/2016,MA Homeland Security,15,0.0202,188.31,3
5/2016,MA Homeland Security,11,0.0221,198.52,3
5/2016,MA Homeland Security,14,0.0449,200.26,1
5/2016,MA Homeland Security,8,0.02,150.3,1
5/2016,MA Homeland Security,10,0.0375,192.22,1
5/2016,MA Homeland Security,11,0.0283,208.97,1
5/2016,MA Homeland Security,12,0.0325,223.28,1
5/2016,MA Homeland Security,11,0.0284,207.05,1
5/2016,MA Homeland Security,12,0.0335,199.59,0
5/2016,MA Homeland Security,11,0.0342,175.43,0
5/2016,MA Homeland Security,12,0.0486,217.21,3
5/2016,MA Homeland Security,11,0.03,191.46,0
5/2016,MA Homeland Security,12,0.0353,188.9,0
5/2016,MA Homeland Security,13,0.0346,197.96,1
5/2016,MA Homeland Security,12,0.0345,196.65,0
5/2016,MA Homeland Security,13,0.0464,206.15,1
5/2016,MA Homeland Security,13,0.0334,191.7,2
4/2016,MA Homeland Security,9,0.0333,118.05,0
4/2016,MA Homeland Security,11,0.0308,155.88,0
4/2016,MA Homeland Security,12,0.0221,170.4,1
4/2016,MA Homeland Security,10,0.0175,167.15,1
4/2016,MA Homeland Security,15,0.0133,173.55,1
4/2016,MA Homeland Security,11,0.0179,173.48,1
4/2016,MA Homeland Security,10,0.027,163.95,2
4/2016,MA Homeland Security,7,0.0134,126.6,2
4/2016,MA Homeland Security,14,0.0199,166.92,0
4/2016,MA Homeland Security,12,0.0198,176.31,1
4/2016,MA Homeland Security,13,0.02,197.4,1
4/2016,MA Homeland Security,12,0.0392,184.55,2
4/2016,MA Homeland Security,13,0.022,184.82,1
4/2016,MA Homeland Security,13,0.0241,184.94,1
4/2016,MA Homeland Security,13,0.0221,195.87,2
4/2016,MA Homeland Security,12,0.0242,202.79,1
4/2016,MA Homeland Security,11,0.0258,194.09,2
4/2016,MA Homeland Security,14,0.023,195.85,2
4/2016,MA Homeland Security,8,0.0166,191,0
4/2016,MA Homeland Security,13,0.0429,211.82,2
4/2016,MA Homeland Security,12,0.0448,198.84,1
4/2016,MA Homeland Security,12,0.0268,178.07,0
4/2016,MA Homeland Security,14,0.0249,200.69,2
4/2016,MA Homeland Security,12,0.0303,189.03,1
4/2016,MA Homeland Security,12,0.0467,208.31,0
4/2016,MA Homeland Security,15,0.034,203.23,3
4/2016,MA Homeland Security,13,0.0386,204.12,0
4/2016,MA Homeland Security,13,0.0508,176.38,1
4/2016,MA Homeland Security,14,0.0337,187.82,2
4/2016,MA Homeland Security,12,0.0358,190.02,2
3/2016,MA Homeland Security,11,0.0414,159.8,1
3/2016,MA Homeland Security,12,0.0204,200.07,1
3/2016,MA Homeland Security,6,0.0306,101.88,1
3/2016,MA Homeland Security,7,0.0285,105.62,1
3/2016,MA Homeland Security,7,0.0262,115.45,0
3/2016,MA Homeland Security,8,0.0264,101.53,1
3/2016,MA Homeland Security,10,0.0207,112.61,2
3/2016,MA Homeland Security,7,0.0218,112.53,0
3/2016,MA Homeland Security,8,0.0258,117.79,1
3/2016,MA Homeland Security,7,0.0244,107.07,1
3/2016,MA Homeland Security,9,0.0377,133.54,0
3/2016,MA Homeland Security,8,0.0264,110.94,0
3/2016,MA Homeland Security,6,0.0355,110.94,0
3/2016,MA Homeland Security,7,0.0314,109.13,2
3/2016,MA Homeland Security,7,0.0409,121.86,0
3/2016,MA Homeland Security,9,0.0314,138.21,0
3/2016,MA Homeland Security,8,0.032,135.54,1
3/2016,MA Homeland Security,10,0.0581,130.56,1
3/2016,MA Homeland Security,8,0.0889,120.97,0
3/2016,MA Homeland Security,8,0.1429,112.52,1
3/2016,MA Homeland Security,7,0.0769,118.13,1
3/2016,MA Homeland Security,8,0.0602,122.45,0
3/2016,MA Homeland Security,9,0.0349,135.34,0
3/2016,MA Homeland Security,10,0.0315,126.55,1
3/2016,MA Homeland Security,9,0.0319,134.72,0
3/2016,MA Homeland Security,9,0.057,124.88,0
3/2016,MA Homeland Security,8,0.0376,133.46,0
3/2016,MA Homeland Security,8,0.0421,118.16,1
3/2016,MA Homeland Security,9,0.0309,132.2,0
3/2016,MA Homeland Security,9,0.0796,135.53,1
3/2016,MA Homeland Security,9,0.0294,117.14,1
2/2016,MA Homeland Security,7,0.0667,95.65,1
2/2016,MA Homeland Security,7,0.0476,95.31,1
2/2016,MA Homeland Security,6,0.0247,104.94,0
2/2016,MA Homeland Security,8,0.0376,103.28,0
2/2016,MA Homeland Security,8,0.0708,113.4,1
2/2016,MA Homeland Security,9,0.031,117.87,2
2/2016,MA Homeland Security,7,0.0385,115.7,1
2/2016,MA Homeland Security,9,0.022,138.81,1
2/2016,MA Homeland Security,8,0.0482,129.71,2
2/2016,MA Homeland Security,9,0.0327,128.24,1
2/2016,MA Homeland Security,9,0.0455,120.37,1
2/2016,MA Homeland Security,9,0.0248,123.22,1
2/2016,MA Homeland Security,8,0.0377,126.33,1
2/2016,MA Homeland Security,9,0.024,126.15,0
2/2016,MA Homeland Security,9,0.031,128.62,0
2/2016,MA Homeland Security,10,0.0376,136.5,0
2/2016,MA Homeland Security,9,0.0228,137.61,1
2/2016,MA Homeland Security,8,0.0207,130.35,0
2/2016,MA Homeland Security,9,0.0283,129.49,3
2/2016,MA Homeland Security,11,0.05,141.72,0
2/2016,MA Homeland Security,11,0.0345,136.24,2
2/2016,MA Homeland Security,9,0.0643,142.08,0
2/2016,MA Homeland Security,8,0.0352,124.87,0
2/2016,MA Homeland Security,8,0.093,133.49,0
2/2016,MA Homeland Security,11,0.0431,132.68,0
2/2016,MA Homeland Security,12,0.1008,143.33,0
2/2016,MA Homeland Security,11,0.0827,140.77,0
2/2016,MA Homeland Security,9,0.0581,139.85,0
2/2016,MA Homeland Security,8,0.0769,142.95,0
1/2016,MA Homeland Security,3,0.0306,61.84,1
1/2016,MA Homeland Security,5,0.1042,80.03,0
1/2016,MA Homeland Security,5,0.049,91.46,0
1/2016,MA Homeland Security,7,0.0347,108.33,1
1/2016,MA Homeland Security,9,0.1111,128.62,1
1/2016,MA Homeland Security,5,0.0658,104.51,0
1/2016,MA Homeland Security,5,0.0463,114.67,1
1/2016,MA Homeland Security,6,0.0476,104.49,1
1/2016,MA Homeland Security,5,0.0446,108.45,1
1/2016,MA Homeland Security,6,0.0968,112.47,0
1/2016,MA Homeland Security,5,0.0333,120.18,0
1/2016,MA Homeland Security,6,0.0361,135.22,0
1/2016,MA Homeland Security,8,0.0548,143.38,1
1/2016,MA Homeland Security,8,0.0385,127.06,1
1/2016,MA Homeland Security,5,0.098,119.42,0
1/2016,MA Homeland Security,6,0.0397,111.32,0
1/2016,MA Homeland Security,6,0.017,123.32,0
1/2016,MA Homeland Security,7,0.0654,138,0
1/2016,MA Homeland Security,7,0.0354,133.57,0
1/2016,MA Homeland Security,7,0.0805,142.55,1
1/2016,MA Homeland Security,7,0.0417,139.11,1
1/2016,MA Homeland Security,8,0.036,139.34,0
1/2016,MA Homeland Security,8,0.032,126.93,0
1/2016,MA Homeland Security,7,0.0636,126.78,3
1/2016,MA Homeland Security,8,0.0584,140.18,1
1/2016,MA Homeland Security,7,0.1458,140.95,2
1/2016,MA Homeland Security,8,0.0964,136.23,0
1/2016,MA Homeland Security,8,0.0325,148.71,0
1/2016,MA Homeland Security,7,0.0515,141.2,1
1/2016,MA Homeland Security,8,0.0708,136.67,2
1/2016,MA Homeland Security,7,0.0551,132.32,0
12/2015,MA Homeland Security,4,0.2857,72.93,0
12/2015,MA Homeland Security,7,0.0504,115.14,0
12/2015,MA Homeland Security,7,0.1129,118.49,0
12/2015,MA Homeland Security,7,0.0631,127.1,1
12/2015,MA Homeland Security,6,0.1333,116.49,1
12/2015,MA Homeland Security,7,0.1014,132.39,3
12/2015,MA Homeland Security,7,0.1186,130.22,0
12/2015,MA Homeland Security,7,0.0337,126.01,0
12/2015,MA Homeland Security,10,0.073,151.59,0
12/2015,MA Homeland Security,6,0.0331,129.25,0
12/2015,MA Homeland Security,7,0.0814,132.73,0
12/2015,MA Homeland Security,9,0.0714,132.08,1
12/2015,MA Homeland Security,6,0.0833,126.92,0
12/2015,MA Homeland Security,6,0.1364,144.09,0
12/2015,MA Homeland Security,8,0.0449,143.84,0
12/2015,MA Homeland Security,8,0.0435,155.16,1
12/2015,MA Homeland Security,10,0.0452,155.51,1
12/2015,MA Homeland Security,7,0.0206,142.33,0
12/2015,MA Homeland Security,8,0.0432,130.2,2
12/2015,MA Homeland Security,9,0.0274,140.12,1
12/2015,MA Homeland Security,6,0.0042,133.59,1
12/2015,MA Homeland Security,2,0.0029,43.84,0
12/2015,MA Homeland Security,9,0.0193,138.43,0
12/2015,MA Homeland Security,7,0.0121,148.37,1
12/2015,MA Homeland Security,7,0.0348,147.16,1
12/2015,MA Homeland Security,6,0.0166,85.97,0
12/2015,MA Homeland Security,7,0.0188,105.47,1
12/2015,MA Homeland Security,7,0.0241,140.71,1
12/2015,MA Homeland Security,7,0.0203,144.72,0
12/2015,MA Homeland Security,8,0.0205,144.28,0
12/2015,MA Homeland Security,9,0.0164,143.4,1
11/2015,MA Homeland Security,5,0.0562,61.59,1
11/2015,MA Homeland Security,8,0.0239,131.91,0
11/2015,MA Homeland Security,6,0.069,101.26,1
11/2015,MA Homeland Security,5,0.0694,100.74,2
11/2015,MA Homeland Security,5,0.0424,118.82,0
11/2015,MA Homeland Security,6,0.022,105.69,0
11/2015,MA Homeland Security,7,0.0165,120.02,1
11/2015,MA Homeland Security,8,0.0177,136.34,1
11/2015,MA Homeland Security,7,0.0302,120.29,0
11/2015,MA Homeland Security,7,0.0222,118.02,2
11/2015,MA Homeland Security,7,0.033,127.77,0
11/2015,MA Homeland Security,10,0.0152,136.05,1
11/2015,MA Homeland Security,9,0.0497,136.45,0
11/2015,MA Homeland Security,8,0.016,141.44,0
11/2015,MA Homeland Security,9,0.0425,146.28,1
11/2015,MA Homeland Security,7,0.0389,128.37,1
11/2015,MA Homeland Security,8,0.0237,128.3,0
11/2015,MA Homeland Security,8,0.0186,125.73,1
11/2015,MA Homeland Security,9,0.0259,146.61,0
11/2015,MA Homeland Security,9,0.0383,142.6,1
11/2015,MA Homeland Security,10,0.0223,148.02,2
11/2015,MA Homeland Security,9,0.0364,128.27,2
11/2015,MA Homeland Security,7,0.0234,121.25,0
11/2015,MA Homeland Security,5,0.0194,52.12,0
11/2015,MA Homeland Security,9,0.0319,112.69,1
11/2015,MA Homeland Security,8,0.0154,118.75,0
11/2015,MA Homeland Security,10,0.0248,130.63,1
11/2015,MA Homeland Security,7,0.034,127.27,1
11/2015,MA Homeland Security,10,0.0364,129.11,1
11/2015,MA Homeland Security,7,0.0261,116.17,2
10/2015,MA Homeland Security,4,0.0206,57.39,1
10/2015,MA Homeland Security,5,0.0245,80.26,1
10/2015,MA Homeland Security,5,0.0155,100.15,1
10/2015,MA Homeland Security,6,0.0242,126.07,2
10/2015,MA Homeland Security,5,0.0101,104.97,1
10/2015,MA Homeland Security,7,0.0218,126.2,0
10/2015,MA Homeland Security,5,0.025,106.56,0
10/2015,MA Homeland Security,5,0.019,65.44,0
10/2015,MA Homeland Security,6,0.0152,108.99,0
10/2015,MA Homeland Security,9,0.023,121.84,2
10/2015,MA Homeland Security,7,0.0303,116.58,1
10/2015,MA Homeland Security,6,0.012,97.53,1
10/2015,MA Homeland Security,7,0.0297,120.94,0
10/2015,MA Homeland Security,6,0.0221,114.79,0
10/2015,MA Homeland Security,8,0.0272,107.18,1
10/2015,MA Homeland Security,6,0.0444,118.27,2
10/2015,MA Homeland Security,7,0.0172,126.06,1
10/2015,MA Homeland Security,7,0.0172,126.65,1
10/2015,MA Homeland Security,6,0.0166,123.55,0
10/2015,MA Homeland Security,6,0.0174,129.18,2
10/2015,MA Homeland Security,4,0.0125,50.5,0
10/2015,MA Homeland Security,7,0.049,113.46,1
10/2015,MA Homeland Security,6,0.0274,106.82,1
10/2015,MA Homeland Security,8,0.022,116.81,1
10/2015,MA Homeland Security,7,0.0354,130.32,0
10/2015,MA Homeland Security,9,0.0226,148.86,0
10/2015,MA Homeland Security,9,0.0184,131.53,2
10/2015,MA Homeland Security,5,0.0301,121.94,1
10/2015,MA Homeland Security,6,0.022,103.01,0
10/2015,MA Homeland Security,4,0.0097,39.21,0
10/2015,MA Homeland Security,7,0.0172,118.1,0
9/2015,MA Homeland Security,6,0.0197,93.06,3
9/2015,MA Homeland Security,5,0.0235,104.66,0
9/2015,MA Homeland Security,5,0.0185,100.95,1
9/2015,MA Homeland Security,6,0.0577,118.38,1
9/2015,MA Homeland Security,5,0.0336,108.81,0
9/2015,MA Homeland Security,6,0.0353,116.99,1
9/2015,MA Homeland Security,5,0.0158,115.58,1
9/2015,MA Homeland Security,8,0.0147,120.47,1
9/2015,MA Homeland Security,5,0.0188,108.89,1
9/2015,MA Homeland Security,6,0.0294,105.08,0
9/2015,MA Homeland Security,7,0.0269,97.87,0
9/2015,MA Homeland Security,5,0.0287,91.73,0
9/2015,MA Homeland Security,5,0.0893,110.13,1
9/2015,MA Homeland Security,6,0.0155,117.81,0
9/2015,MA Homeland Security,4,0.0106,83.73,0
9/2015,MA Homeland Security,6,0.0166,142.19,0
9/2015,MA Homeland Security,6,0.0297,119.89,2
9/2015,MA Homeland Security,6,0.0196,117.77,0
9/2015,MA Homeland Security,4,0.0135,78.41,2
9/2015,MA Homeland Security,6,0.0833,101.87,0
9/2015,MA Homeland Security,7,0.0329,127.4,0
9/2015,MA Homeland Security,5,0.0148,110.15,0
9/2015,MA Homeland Security,7,0.025,116.71,0
9/2015,MA Homeland Security,6,0.0145,105.18,0
9/2015,MA Homeland Security,5,0.0581,104.43,0
9/2015,MA Homeland Security,5,0.0144,99.12,1
9/2015,MA Homeland Security,4,0.0086,98.62,1
9/2015,MA Homeland Security,6,0.0245,114.28,1
9/2015,MA Homeland Security,8,0.019,109.88,1
9/2015,MA Homeland Security,7,0.0164,119.02,1
8/2015,MA Homeland Security,2,0.0077,40.16,1
8/2015,MA Homeland Security,4,0.0201,79.16,0
8/2015,MA Homeland Security,5,0.0298,88.61,0
8/2015,MA Homeland Security,5,0.05,93.98,0
8/2015,MA Homeland Security,5,0.0182,112.44,0
8/2015,MA Homeland Security,5,0.0131,102.36,0
8/2015,MA Homeland Security,3,0.0055,45.39,1
8/2015,MA Homeland Security,6,0.0246,108.95,0
8/2015,MA Homeland Security,5,0.0154,85.83,1
8/2015,MA Homeland Security,5,0.0182,106.14,0
8/2015,MA Homeland Security,4,0.0404,99.42,0
8/2015,MA Homeland Security,5,0.0159,105.57,1
8/2015,MA Homeland Security,6,0.0163,118.77,0
8/2015,MA Homeland Security,6,0.0217,112.94,1
8/2015,MA Homeland Security,6,0.0309,117.34,0
8/2015,MA Homeland Security,4,0.0197,95.78,0
8/2015,MA Homeland Security,5,0.0556,98.35,0
8/2015,MA Homeland Security,5,0.0694,105.29,1
8/2015,MA Homeland Security,5,0.035,119.39,1
8/2015,MA Homeland Security,5,0.0397,112.25,1
8/2015,MA Homeland Security,7,0.0154,119.2,0
8/2015,MA Homeland Security,6,0.0312,111.96,0
8/2015,MA Homeland Security,6,0.0339,110.97,2
8/2015,MA Homeland Security,3,0.0109,50.47,0
8/2015,MA Homeland Security,4,0.01,80.64,0
8/2015,MA Homeland Security,7,0.0234,104.45,1
8/2015,MA Homeland Security,6,0.0173,111.13,1
8/2015,MA Homeland Security,6,0.0133,113.65,0
8/2015,MA Homeland Security,6,0.011,111.44,0
8/2015,MA Homeland Security,4,0.0122,83.41,1
8/2015,MA Homeland Security,5,0.017,93.5,0
7/2015,MA Homeland Security,4,0.0099,85.65,0
7/2015,MA Homeland Security,6,0.0108,104.9,0
7/2015,MA Homeland Security,3,0.0059,33.15,0
7/2015,MA Homeland Security,6,0.0112,114.15,0
7/2015,MA Homeland Security,5,0.01,111.78,1
7/2015,MA Homeland Security,6,0.0261,115.75,2
7/2015,MA Homeland Security,6,0.0262,117.58,0
7/2015,MA Homeland Security,6,0.0175,115.56,1
7/2015,MA Homeland Security,7,0.0218,119.53,0
7/2015,MA Homeland Security,6,0.012,100.34,1
7/2015,MA Homeland Security,2,0.0039,33.28,0
7/2015,MA Homeland Security,8,0.0171,118.06,2
7/2015,MA Homeland Security,3,0.0094,49.48,0
7/2015,MA Homeland Security,6,0.0192,108.35,2
7/2015,MA Homeland Security,6,0.0128,111.87,0
7/2015,MA Homeland Security,4,0.0086,64.91,1
7/2015,MA Homeland Security,4,0.0081,57.92,1
7/2015,MA Homeland Security,7,0.018,118.2,0
7/2015,MA Homeland Security,8,0.0147,94.59,1
7/2015,MA Homeland Security,6,0.0221,110.97,1
7/2015,MA Homeland Security,6,0.0414,110.17,0
7/2015,MA Homeland Security,4,0.0185,102.24,0
7/2015,MA Homeland Security,6,0.0118,96.4,1
7/2015,MA Homeland Security,4,0.0081,48.04,0
7/2015,MA Homeland Security,3,0.0058,40.23,0
7/2015,MA Homeland Security,5,0.0221,107.58,1
7/2015,MA Homeland Security,5,0.0187,91.16,0
7/2015,MA Homeland Security,5,0.0397,103.24,0
7/2015,MA Homeland Security,6,0.016,101.63,0
7/2015,MA Homeland Security,6,0.0265,110,1
7/2015,MA Homeland Security,5,0.0126,111.52,0
9/2016,Master's in GIT,6,0.0209,63.19,1
9/2016,Master's in GIT,5,0.027,60.85,0
9/2016,Master's in GIT,6,0.0195,44.15,0
9/2016,Master's in GIT,4,0.0163,58.65,0
9/2016,Master's in GIT,8,0.0349,64.15,0
9/2016,Master's in GIT,8,0.0277,60.72,1
9/2016,Master's in GIT,5,0.0196,74.79,0
9/2016,Master's in GIT,7,0.014,66.94,0
9/2016,Master's in GIT,5,0.0175,61.39,0
9/2016,Master's in GIT,6,0.0161,54.03,0
9/2016,Master's in GIT,6,0.0194,56.63,1
9/2016,Master's in GIT,6,0.0349,56.76,0
9/2016,Master's in GIT,7,0.0192,67.07,0
8/2016,Master's in GIT,2,0.0074,21.05,0
8/2016,Master's in GIT,4,0.0153,45.57,1
8/2016,Master's in GIT,5,0.0246,52.54,0
8/2016,Master's in GIT,5,0.0183,52.16,1
8/2016,Master's in GIT,3,0.0116,42.53,0
8/2016,Master's in GIT,5,0.0256,50.47,1
8/2016,Master's in GIT,5,0.0338,55.93,3
8/2016,Master's in GIT,5,0.0265,57.33,0
8/2016,Master's in GIT,5,0.0226,63.07,0
8/2016,Master's in GIT,6,0.017,66.02,2
8/2016,Master's in GIT,5,0.0299,56.24,0
8/2016,Master's in GIT,5,0.0329,59.96,0
8/2016,Master's in GIT,8,0.0174,65.38,0
8/2016,Master's in GIT,6,0.0323,56.7,0
8/2016,Master's in GIT,7,0.0142,65.18,1
8/2016,Master's in GIT,8,0.0213,65.73,1
8/2016,Master's in GIT,7,0.0145,64.83,1
8/2016,Master's in GIT,3,0.0191,21.58,0
8/2016,Master's in GIT,5,0.0161,62.8,0
8/2016,Master's in GIT,6,0.0263,53.1,1
8/2016,Master's in GIT,6,0.0229,57.39,0
8/2016,Master's in GIT,7,0.016,64.04,1
8/2016,Master's in GIT,5,0.0195,66.44,2
8/2016,Master's in GIT,6,0.0331,64.49,1
8/2016,Master's in GIT,6,0.0508,62.96,0
8/2016,Master's in GIT,6,0.0189,62.98,3
8/2016,Master's in GIT,5,0.0145,58.78,1
8/2016,Master's in GIT,6,0.0269,56.4,1
8/2016,Master's in GIT,6,0.0234,71.98,0
8/2016,Master's in GIT,6,0.0222,59.6,0
7/2016,Master's in GIT,3,0.0133,36.02,0
7/2016,Master's in GIT,4,0.0333,47.79,1
7/2016,Master's in GIT,5,0.0119,59.73,1
7/2016,Master's in GIT,6,0.0195,78.41,1
7/2016,Master's in GIT,8,0.0148,67.16,1
7/2016,Master's in GIT,6,0.0202,66,0
7/2016,Master's in GIT,7,0.0182,79.07,2
7/2016,Master's in GIT,4,0.0134,52.75,1
7/2016,Master's in GIT,2,0.0084,18.95,0
7/2016,Master's in GIT,4,0.0374,55.08,0
7/2016,Master's in GIT,5,0.0187,64.34,1
7/2016,Master's in GIT,6,0.0199,66.15,1
7/2016,Master's in GIT,6,0.0952,66.14,0
7/2016,Master's in GIT,4,0.0169,65.44,0
7/2016,Master's in GIT,5,0.035,65.76,2
7/2016,Master's in GIT,2,0.0086,22.58,0
7/2016,Master's in GIT,5,0.0166,62.43,0
7/2016,Master's in GIT,7,0.0389,83.5,0
7/2016,Master's in GIT,5,0.0216,63.43,0
7/2016,Master's in GIT,6,0.0182,68.68,1
7/2016,Master's in GIT,6,0.0113,56.6,1
7/2016,Master's in GIT,4,0.015,34.03,0
7/2016,Master's in GIT,4,0.0169,42.07,0
7/2016,Master's in GIT,6,0.0284,63.8,2
7/2016,Master's in GIT,6,0.0221,66.7,3
7/2016,Master's in GIT,6,0.0258,69.48,0
7/2016,Master's in GIT,6,0.0222,61.66,0
7/2016,Master's in GIT,6,0.0293,69.55,0
7/2016,Master's in GIT,4,0.0185,46.9,0
7/2016,Master's in GIT,1,0.0042,12.43,0
7/2016,Master's in GIT,5,0.0114,56.08,0
6/2016,Master's in GIT,11,0.0216,120.86,2
6/2016,Master's in GIT,10,0.0197,107.56,1
6/2016,Master's in GIT,2,0.0435,24.48,0
6/2016,Master's in GIT,8,0.0147,100.09,1
6/2016,Master's in GIT,7,0.0298,84.14,0
6/2016,Master's in GIT,8,0.0351,100,1
6/2016,Master's in GIT,1,0.0026,14.56,0
6/2016,Master's in GIT,6,0.0137,74.74,1
6/2016,Master's in GIT,7,0.0131,77.15,1
6/2016,Master's in GIT,10,0.0181,116.39,1
